state,load_value,time
UTTARAKHAND,1561,1713038207.6351078
UTTAR-PRADESH,19150,1713038207.6351078
CHANDIGARH,151,1713039107.8391778
HARYANA,6313,1713039107.8391778
HIMACHAL,1037,1713039107.8391778
J & K,1563,1713039107.8391778
PUNJAB,5184,1713039107.8391778
RAJASTHAN,8950,1713039107.8391778
UTTARAKHAND,1589,1713039107.8391778
UTTAR-PRADESH,18933,1713039107.8391778
CHANDIGARH,151,1713040007.6343338
HARYANA,6309,1713040007.6343338
HIMACHAL,1026,1713040007.6343338
J & K,1560,1713040007.6343338
PUNJAB,5167,1713040007.6343338
RAJASTHAN,8871,1713040007.6343338
UTTARAKHAND,1570,1713040007.6343338
UTTAR-PRADESH,18857,1713040007.6343338
CHANDIGARH,150,1713040938.7205536
HARYANA,6216,1713040938.7205536
HIMACHAL,1009,1713040938.7205536
J & K,1661,1713040938.7205536
PUNJAB,5067,1713040938.7205536
RAJASTHAN,8766,1713040938.7205536
UTTARAKHAND,1568,1713040938.7205536
UTTAR-PRADESH,18655,1713040938.7205536
CHANDIGARH,147,1713041807.227849
HARYANA,6190,1713041807.227849
HIMACHAL,1073,1713041807.227849
J & K,1616,1713041807.227849
PUNJAB,5087,1713041807.227849
RAJASTHAN,8730,1713041807.227849
UTTARAKHAND,1542,1713041807.227849
UTTAR-PRADESH,18453,1713041807.227849
CHANDIGARH,147,1713042739.3989718
HARYANA,6230,1713042739.3989718
HIMACHAL,1029,1713042739.3989718
J & K,1593,1713042739.3989718
PUNJAB,5096,1713042739.3989718
RAJASTHAN,8704,1713042739.3989718
UTTARAKHAND,1554,1713042739.3989718
UTTAR-PRADESH,18528,1713042739.3989718
CHANDIGARH,146,1713043607.7877624
HARYANA,6156,1713043607.7877624
HIMACHAL,1019,1713043607.7877624
J & K,1569,1713043607.7877624
PUNJAB,5077,1713043607.7877624
RAJASTHAN,8633,1713043607.7877624
UTTARAKHAND,1534,1713043607.7877624
UTTAR-PRADESH,18405,1713043607.7877624
CHANDIGARH,144,1713044548.6847599
HARYANA,6144,1713044548.6847599
HIMACHAL,1003,1713044548.6847599
J & K,1566,1713044548.6847599
PUNJAB,5068,1713044548.6847599
RAJASTHAN,8617,1713044548.6847599
UTTARAKHAND,1537,1713044548.6847599
UTTAR-PRADESH,18224,1713044548.6847599
CHANDIGARH,144,1713045407.4872181
HARYANA,6056,1713045407.4872181
HIMACHAL,1006,1713045407.4872181
J & K,1546,1713045407.4872181
PUNJAB,5119,1713045407.4872181
RAJASTHAN,8578,1713045407.4872181
UTTARAKHAND,1521,1713045407.4872181
UTTAR-PRADESH,18188,1713045407.4872181
CHANDIGARH,145,1713046350.705408
HARYANA,6065,1713046350.705408
HIMACHAL,1020,1713046350.705408
J & K,1579,1713046350.705408
PUNJAB,5091,1713046350.705408
RAJASTHAN,8452,1713046350.705408
UTTARAKHAND,1516,1713046350.705408
UTTAR-PRADESH,18089,1713046350.705408
CHANDIGARH,145,1713047207.8111913
HARYANA,6018,1713047207.8111913
HIMACHAL,1027,1713047207.8111913
J & K,1594,1713047207.8111913
PUNJAB,5131,1713047207.8111913
RAJASTHAN,8391,1713047207.8111913
UTTARAKHAND,1497,1713047207.8111913
UTTAR-PRADESH,17934,1713047207.8111913
CHANDIGARH,145,1713048138.7060044
HARYANA,5977,1713048138.7060044
HIMACHAL,1063,1713048138.7060044
J & K,1593,1713048138.7060044
PUNJAB,5115,1713048138.7060044
RAJASTHAN,8353,1713048138.7060044
UTTARAKHAND,1530,1713048138.7060044
UTTAR-PRADESH,18023,1713048138.7060044
CHANDIGARH,146,1713049007.7971745
HARYANA,5985,1713049007.7971745
HIMACHAL,1070,1713049007.7971745
J & K,1605,1713049007.7971745
PUNJAB,5252,1713049007.7971745
RAJASTHAN,8568,1713049007.7971745
UTTARAKHAND,1523,1713049007.7971745
UTTAR-PRADESH,18000,1713049007.7971745
CHANDIGARH,151,1713050847.4394867
HARYANA,6044,1713050847.4394867
HIMACHAL,1147,1713050847.4394867
J & K,1712,1713050847.4394867
PUNJAB,5505,1713050847.4394867
RAJASTHAN,8668,1713050847.4394867
UTTARAKHAND,1561,1713050847.4394867
UTTAR-PRADESH,18214,1713050847.4394867
CHANDIGARH,152,1713051707.65178
HARYANA,6102,1713051707.65178
HIMACHAL,1162,1713051707.65178
J & K,1846,1713051707.65178
PUNJAB,5767,1713051707.65178
RAJASTHAN,8789,1713051707.65178
UTTARAKHAND,1586,1713051707.65178
UTTAR-PRADESH,18055,1713051707.65178
CHANDIGARH,153,1713052638.7079263
HARYANA,6287,1713052638.7079263
HIMACHAL,1198,1713052638.7079263
J & K,1956,1713052638.7079263
PUNJAB,5911,1713052638.7079263
RAJASTHAN,9049,1713052638.7079263
UTTARAKHAND,1640,1713052638.7079263
UTTAR-PRADESH,18131,1713052638.7079263
